Категория;Подкатегория;Оборот;Продавцов;Доля_топ1_%;Доля_топ2_%;Доля_топ5_%;Отрыв_1_от_2_пп;Доминирование_1_в_топ5
Диваны и кресла;Диван раскладной;5254135345;1483;10.6;16.8;32.1;4.4;0.33
Диваны и кресла;Угловой диван;1379638980;182;14.1;27.4;48.7;0.8;0.29
Диваны и кресла;Прямой диван;1109423171;1025;4.3;8.4;17.4;0.2;0.25
Диваны и кресла;Кресло;1094897301;2192;2.8;5.4;12.4;0.2;0.23
Диваны и кресла;Кресло-кровать;632627241;797;11.5;20.5;37.0;2.5;0.31
Диваны и кресла;Подвесное кресло;553174499;610;15.8;29.6;48.0;2.0;0.33
Диваны и кресла;Кресло-качалка;512442941;1356;16.8;30.1;48.2;3.5;0.35
Диваны и кресла;Кухонный уголок;387301792;114;18.9;35.2;54.8;2.6;0.34
Диваны и кресла;Модульный диван;212643179;273;20.6;36.9;63.0;4.3;0.33
Диваны и кресла;Кушетка;57278614;333;13.9;22.3;45.1;5.5;0.31
Комоды и тумбы;Тумба;3381399327;4635;3.9;7.8;16.6;0.0;0.23
Комоды и тумбы;Комод;3239415237;2953;5.4;10.1;17.9;0.7;0.3
Комоды и тумбы;Обувница;1728112389;6124;4.8;8.3;17.7;1.3;0.27
Комоды и тумбы;Пеленальный стол;83304819;465;29.4;40.0;56.7;18.8;0.52
Комоды и тумбы;Этажерка для обуви;66443116;1679;10.8;20.9;42.3;0.7;0.26
Комплекты мебели;Комплект мебели для прихожей;890258096;346;23.1;33.6;53.3;12.6;0.43
Комплекты мебели;Стенка для гостиной;558956340;212;25.3;39.1;58.7;11.5;0.43
Комплекты мебели;Комплект детской мебели;429102606;1022;6.9;13.6;30.4;0.2;0.23
Комплекты мебели;Обеденная группа;146470621;104;41.9;71.0;87.4;12.8;0.48
Комплекты мебели;Комплект мебели для спальни;133651307;96;16.8;31.9;53.8;1.7;0.31
Комплекты мебели;Комплект мягкой мебели;45581733;32;20.1;38.0;70.1;2.2;0.29
Комплекты мебели;Модуль стенки для гостиной;16674118;35;30.1;50.6;78.2;9.6;0.38
Комплекты мебели;Комплект офисной мебели;3633920;32;23.0;43.5;81.0;2.5;0.28
Кровати;Двуспальная кровать;5174793598;654;10.4;19.1;30.8;1.7;0.34
Кровати;Кровать детская;1819573069;800;11.0;15.9;26.2;6.1;0.42
Кровати;Односпальная кровать;1327082306;670;12.7;19.7;30.5;5.7;0.42
Кровати;Раскладушка;705750569;1486;8.1;14.5;26.4;1.7;0.31
Кровати;Двухъярусная кровать;396856565;140;10.5;17.3;32.4;3.7;0.32
Кровати;Тахта;179803106;96;22.4;38.1;57.8;6.7;0.39
Кровати;Колыбель;138777462;368;21.2;40.3;60.8;2.1;0.35
Кровати;Каркас кровати;125988519;74;21.0;33.8;68.0;8.2;0.31
Кровати;Кровать-чердак;101225043;71;9.8;18.4;38.2;1.2;0.26
Кровати;Шкаф-кровать;86834599;12;32.2;47.7;85.1;16.7;0.38
Кровати;Кровать раздвижная;48852523;205;38.1;60.2;81.1;16.0;0.47
Матрасы;Матрас;10640376360;3473;8.3;16.5;30.6;0.1;0.27
Матрасы;Топпер-наматрасник;755821305;438;13.1;25.0;40.7;1.2;0.32
Матрасы;Матрас для садовой мебели;482852536;1478;9.0;17.8;39.6;0.2;0.23
Матрасы;Медицинский матрас;16954646;10;48.2;80.7;94.3;15.7;0.51
Мебель бескаркасная;Бескаркасный диван;432698927;399;12.7;22.2;43.9;3.2;0.29
Мебель бескаркасная;Кресло-мешок;342458579;998;17.7;26.3;50.5;9.1;0.35
Мебель бескаркасная;Чехол для бескаркасной мебели;141663158;1187;14.3;28.0;43.0;0.6;0.33
Мебель бескаркасная;Бескаркасный пуф;26573398;394;17.5;32.1;59.3;2.9;0.3
Мебель для бизнеса;Мебель медицинская;392382643;89;14.7;25.0;50.9;4.4;0.29
Мебель для бизнеса;Стол производственный;251615384;334;22.0;35.0;59.0;9.0;0.37
Мебель для бизнеса;Комплект мебели для ПВЗ;108281072;52;24.2;41.6;63.9;6.8;0.38
Мебель для бизнеса;Шкаф производственный;72095633;38;32.0;51.5;70.5;12.5;0.45
Мебель для бизнеса;Швейный уголок;38662656;30;27.7;50.2;81.3;5.2;0.34
Мебель для бизнеса;Полка производственная;27546560;69;36.9;51.2;77.7;22.6;0.47
Мебель для бизнеса;Стойка ресепшн для ПВЗ;15072470;18;35.4;53.7;85.5;17.1;0.41
Мебель для бизнеса;Примерочная кабина;8963555;49;18.0;29.1;52.8;6.9;0.34
Мебель для ванной;Тумба для ванной;2894472990;1099;10.3;19.2;40.0;1.4;0.26
Мебель для ванной;Шкаф для ванной;1498610147;1919;5.2;10.3;21.4;0.1;0.24
Мебель для ванной;Комплект мебели для ванной;39506648;53;26.3;44.7;68.8;7.9;0.38
Мебель для кухни;Кухонный гарнитур;2107452005;267;32.8;40.3;53.5;25.3;0.61
Мебель для кухни;Кухонный модуль напольный;1564566760;293;10.3;17.4;36.7;3.2;0.28
Мебель для кухни;Кухонный модуль навесной;731750320;412;9.2;18.0;41.9;0.4;0.22
Мебель для кухни;Наполнение для кухонного модуля;54097236;759;14.1;22.0;37.1;6.2;0.38
Мебельная фурнитура и комплектующие;Столешница;1180867007;575;8.0;13.1;26.4;2.9;0.3
Мебельная фурнитура и комплектующие;Держатель для полки;234156990;2539;4.7;8.9;17.8;0.5;0.26
Мебельная фурнитура и комплектующие;Заглушка декоративная;175803821;1707;15.9;21.8;34.1;10.0;0.47
Мебельная фурнитура и комплектующие;Запчасти для гардеробной системы;172342092;1061;13.5;21.3;38.5;5.7;0.35
Мебельная фурнитура и комплектующие;Газлифт мебельный;133445700;709;11.6;23.2;42.6;0.0;0.27
Мебельная фурнитура и комплектующие;Мебельный фасад;109619627;258;6.9;12.7;29.0;1.1;0.24
Мебельная фурнитура и комплектующие;Дверь для шкафа;108115851;31;32.1;57.6;91.5;6.6;0.35
Мебельная фурнитура и комплектующие;Набор мебельной фурнитуры;101595450;3266;7.0;12.7;22.5;1.3;0.31
Мебельная фурнитура и комплектующие;Ящик выдвижной мебельный;83291131;301;22.3;34.9;58.5;9.7;0.38
Мебельная фурнитура и комплектующие;Выкатная корзина;65437448;385;30.9;46.6;65.5;15.2;0.47
Мебельная фурнитура и комплектующие;Штанга в шкаф;54429866;374;14.1;24.3;52.4;3.9;0.27
Мебельная фурнитура и комплектующие;Запчасти для кровати;46196415;440;12.1;18.7;34.3;5.5;0.35
Мебельная фурнитура и комплектующие;Кромка мебельная безклеевая;15951631;143;26.9;44.3;64.7;9.5;0.42
Мебельная фурнитура и комплектующие;Изголовье кровати;7845307;56;19.9;30.7;54.8;9.1;0.36
Мебельная фурнитура и комплектующие;Доводчик мебельный;7837715;186;20.8;40.1;72.6;1.5;0.29
Полки и стеллажи;Стеллаж;4039915466;3558;13.6;18.2;24.7;9.0;0.55
Полки и стеллажи;Полка;2676648139;23181;1.7;3.4;7.0;0.0;0.24
Полки и стеллажи;Этажерка;502936207;4951;9.8;16.0;25.2;3.6;0.39
Полки и стеллажи;Стеллаж для ванной;177155363;745;8.6;14.8;29.5;2.4;0.29
Полки и стеллажи;Запчасти для стеллажа;44828087;175;37.6;46.3;67.3;28.9;0.56
Садовая мебель;Набор садовой мебели;2286100930;1045;6.6;12.8;30.1;0.4;0.22
Садовая мебель;Садовые качели;1801846675;940;7.1;13.9;31.1;0.3;0.23
Садовая мебель;Шезлонг;1025334637;2194;4.3;8.4;19.6;0.2;0.22
Садовая мебель;Садовый стол;804372543;1484;11.0;21.5;31.6;0.5;0.35
Садовая мебель;Скамья;620604849;1741;5.4;9.5;16.8;1.3;0.32
Садовая мебель;Садовое кресло;557863835;1034;13.1;23.6;34.0;2.6;0.39
Садовая мебель;Садовый диван;552915098;175;11.7;23.1;47.8;0.3;0.24
Садовая мебель;Садовый тент;315442410;1119;9.8;17.4;35.9;2.2;0.27
Садовая мебель;Шатёр;274865392;363;25.9;40.2;62.7;11.6;0.41
Садовая мебель;Садовый стул;254720100;3351;12.2;16.8;27.3;7.6;0.45
Садовая мебель;Гамак;215193413;3172;29.8;38.6;49.9;21.0;0.6
Садовая мебель;Беседка;202330390;279;10.6;17.0;34.9;4.2;0.3
Садовая мебель;Садовая кухня;108752584;296;18.2;34.4;61.9;2.0;0.29
Садовая мебель;Каркас для садовой мебели;95874096;426;14.0;20.7;36.5;7.3;0.38
Садовая мебель;Аксессуары для качели;79647858;689;25.9;44.0;58.0;7.8;0.45
Садовая мебель;Фурнитура для садовой мебели;44000497;208;38.8;46.0;62.1;31.6;0.62
Садовая мебель;Шкаф для газового баллона;27744086;51;31.0;53.5;77.8;8.5;0.4
Садовая мебель;Садовый шкаф;26511871;148;37.3;55.0;76.6;19.6;0.49
Садовая мебель;Аксессуары для гамака;13663073;548;18.0;32.8;49.5;3.2;0.36
Садовая мебель;Ремкомплект для садовой мебели;10857430;168;30.0;53.0;83.9;7.0;0.36
Садовая мебель;Купол;8109556;82;75.5;95.9;97.3;55.1;0.78
Садовая мебель;Аксессуары для беседки;6921791;164;22.0;39.2;67.8;4.8;0.32
Столы;Стол обеденный;4197437908;1398;3.7;6.9;14.4;0.5;0.26
Столы;Компьютерный стол;2079084218;1560;4.7;9.3;21.6;0.1;0.22
Столы;Письменный стол;1389490673;1276;7.1;11.9;21.8;2.3;0.33
Столы;Журнальный стол;1213630435;5467;4.1;6.2;11.9;2.0;0.34
Столы;Подстолье;781278955;998;9.0;17.1;34.2;0.9;0.26
Столы;Туалетный столик;674560139;1026;5.8;10.3;21.3;1.3;0.27
Столы;Приставной столик;208732852;2078;8.1;14.2;24.2;2.0;0.33
Столы;Столик для ноутбука;165626209;1093;9.3;16.4;29.5;2.2;0.32
Столы;Консоль;160160125;988;8.9;13.0;22.5;4.8;0.4
Столы;Стол-книжка;157560806;885;9.7;19.2;37.0;0.2;0.26
Столы;Барный стол;74064618;218;19.1;31.4;49.7;6.8;0.38
Столы;Парта;61818758;138;34.2;41.5;59.5;26.9;0.57
Столы;Стойка ресепшн;43839383;52;32.7;49.6;84.0;15.8;0.39
Столы;Детский стол;42273289;324;15.7;23.8;43.7;7.6;0.36
Столы;Стол-стеллаж;37883746;65;15.5;27.8;61.4;3.2;0.25
Столы;Сервировочный стол;33334988;399;10.1;19.0;38.7;1.2;0.26
Столы;Подвесной стол;30392940;192;19.0;32.3;48.8;5.7;0.39
Столы;Подставка под системный блок;29501490;495;16.5;26.3;40.1;6.7;0.41
Столы;Офисный стол;15348529;88;42.8;55.7;74.5;29.9;0.57
Столы;Трибуна для выступлений;11681909;57;83.1;87.5;92.9;78.7;0.89
Столы;Подлокотник для стола;9554946;386;20.8;28.1;48.2;13.5;0.43
Стулья, скамьи, табуреты, пуфики;Комплект стульев;4406926295;2193;7.9;11.7;20.0;4.1;0.4
Стулья, скамьи, табуреты, пуфики;Стул;2343459596;4171;4.6;7.8;15.9;1.4;0.29
Стулья, скамьи, табуреты, пуфики;Пуф;937751251;2869;8.4;13.5;23.8;3.3;0.35
Стулья, скамьи, табуреты, пуфики;Табурет;419544200;4549;3.6;6.7;14.9;0.5;0.24
Стулья, скамьи, табуреты, пуфики;Барный стул;415670436;1415;9.8;16.4;28.9;3.2;0.34
Стулья, скамьи, табуреты, пуфики;Комплект табуретов;343712554;476;12.3;20.0;35.9;4.6;0.34
Стулья, скамьи, табуреты, пуфики;Детский стул;309177057;3420;7.8;12.0;23.2;3.6;0.34
Стулья, скамьи, табуреты, пуфики;Банкетка;271454590;1103;11.3;18.1;35.0;4.5;0.32
Стулья, скамьи, табуреты, пуфики;Комплект барных стульев;213510765;332;24.8;47.4;59.2;2.2;0.42
Стулья, скамьи, табуреты, пуфики;Складной стул;210978828;1269;14.0;22.4;38.1;5.6;0.37
Стулья, скамьи, табуреты, пуфики;Садовый сундук;165483147;151;41.3;54.8;75.1;27.8;0.55
Стулья, скамьи, табуреты, пуфики;Табурет-стремянка;145042532;1783;12.4;22.0;38.3;2.8;0.32
Стулья, скамьи, табуреты, пуфики;Подставка под ноги;67104112;2015;6.9;12.2;26.6;1.6;0.26
Стулья, скамьи, табуреты, пуфики;Запчасти для стула;46000944;1175;8.3;16.2;29.9;0.4;0.28
Стулья, скамьи, табуреты, пуфики;Сундук;25862073;122;22.6;36.2;56.7;9.0;0.4
Стулья, скамьи, табуреты, пуфики;Кресло детское;23289406;1007;9.9;19.4;33.5;0.4;0.3
Стулья, скамьи, табуреты, пуфики;Стул для музыканта;8340324;248;20.1;29.5;47.1;10.7;0.43
Стулья, скамьи, табуреты, пуфики;Стул откидной;6637336;206;27.1;44.7;66.0;9.5;0.41
Шкафы;Шкаф распашной;7006280404;643;28.2;41.9;53.4;14.5;0.53
Шкафы;Шкаф-купе;1125566030;202;13.7;24.0;47.1;3.4;0.29
Шкафы;Гардеробная система;722629413;159;14.2;27.3;54.6;1.1;0.26
Шкафы;Шкаф-витрина;515042144;486;21.7;33.6;52.2;9.8;0.42
Шкафы;Вешалка настенная;487800234;2571;8.2;13.5;24.0;2.9;0.34
Шкафы;Шкаф-пенал;358162231;310;12.0;17.1;29.9;6.9;0.4
Шкафы;Шкаф книжный;205245879;206;23.7;33.5;52.3;13.9;0.45
Шкафы;Буфет;148287064;518;39.3;47.2;62.6;31.4;0.63
Шкафы;Шкаф складной;142817262;950;23.5;34.5;50.9;12.5;0.46
Шкафы;Шкаф навесной;84583533;218;14.1;24.3;45.1;3.9;0.31
Шкафы;Антресоль мебельная;73823525;136;18.5;35.8;60.5;1.2;0.31
Шкафы;Барная стойка;12576856;15;64.9;81.2;97.4;48.6;0.67
Шкафы;Корпус шкафа;4919835;22;39.4;74.3;91.8;4.5;0.43
